"region","tdate","country","discharging_port","delivery_mode","customer_name","customer_group","category","pid","pallets","branding","total_volume","volume_per_container","incoterm","status1","Status2","payment_terms","payment_terms_days","price","estimated_freight","estimated_fob","sales_order","od","supplier","transporter","inspection","shipping_line","shipped_via","loading_date_at_plant","quantity_removed_from_the_site","stuffing_date","real_freight","real_fob","blno","sequence_date","transit_time","bldate","net_quantity","clearance_date","userComment","type_tc","port_loading","freight_invoice","freight_invoice2","freight_invoice3","days_of_storage","storage_cost","days_of_storage2","storage_cost2","days_of_storage3","storage_cost3","jours_half","jours_1","jours_2","jours_3","ac_status","contract_id","contract_status","invoice","Payment_status"
"Europe","2022-04-02","Greece","LAT KRABANG","Vessel","GREEFOS","ESIFAR","MCP","0","1 pallet per 2 BB","Phosfeed","440","22","CFR","Deal concluded","CONFIRMED","Cable bank transfer","60","730","44","35","1772","571","IPSEN","SEALAND","Inspectorate","MAERSK","MAERSK","2022-08-17","484","0000-00-00","0","0","1236876312","2022-06-18","15","0000-00-00","4434","2022-05-22","","20'","CASABLANCA","116","0","0","0","0","0","0","0","0","3","0","0","0","Sent","1398","Signed Customer","18452","Not Paid\"
"Africa","2022-10-05","Thailand","THESSALONIKI","Container","Vial/Vitafort","GREEFOS","MDCP","0","1 pallet per BB","Neutre","4400","20","EXW","Delivery in progress","CONFIRMED","Cable bank transfer","0","690","25","37","1772","572","SVN","GAMMA","Inspectorate","HAPAG LLOYD","CMA CGM","2022-11-18","484","2022-11-30","27","33","0","0000-00-00","25","2022-05-22","100","2022-05-22","","20'","","137986.14","2280.23","0","0","0","0","0","0","0","3","0","0","0","Sent","1382","Signed OCP","18732","Not Paid\"
"Europe","2022-04-02","Nigeria","LAGOS","Truck","ESIFAR","ESIFAR","MDCP","0","1 pallet per 2 BB","Neutre","440","22","CFR","Deal concluded","CONFIRMED","Cable bank transfer","0","780","0","35","1743","573","SVN","MAERSK","Inspectorate","MAERSK","SEALAND","2022-04-15","4840","2022-08-29","0","33","237739812","2022-05-17","25","0000-00-00","440","0000-00-00","","40' Dry","TANGER","116","2280.23","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed Customer","18452","Paid\"
"Americas","2022-07-03","Greece","BUENOS AIRES","Container","GREEFOS","CP Group","DCP","0","1 pallet per BB","Neutre","100","22","CFR","Deal concluded","CONFIRMED","CAD","0","690","20","37","1435","574","ONCF","MAERSK","Inspectorate","SEALAND","SEALAND","2022-08-17","110","2022-08-29","40","0","1236876312","0000-00-00","15","2022-05-22","440","2022-12-25","","","TANGER","137986.14","0","0","0","84.91","0","0","0","0","0","1","0","0","Sent","1982","Signed OCP","19832","Paid\"
"Africa","2022-03-01","Greece","LAT KRABANG","Container","ALF AMMAR","GREEFOS","MDCP","0","1 pallet per BB","Phosfeed","550","25","CIF","Deal concluded","CONFIRMED","Cable bank transfer","90","780","20","0","1772","575","ONCF","MAERSK","Inspectorate","MAERSK","SEALAND","2022-04-15","110","0000-00-00","19","36","0","2022-12-20","60","0000-00-00","550","2022-09-23","","20'","CASABLANCA","116","0","0","2","0","0","0","0","0","3","0","0","0","Sent","1382","Signed OCP","18668","Paid\"
"Americas","2022-10-05","Morocco","THESSALONIKI","Container","CPF (Thailand) Public Company Limited","GREEFOS","MDCP","0","1 pallet per 2 BB","Neutre","1200","20","CFR","Finalized","CONFIRMED","Cable bank transfer","60","780","20","37","1772","576","IPSEN","HAPAG LLOYD","Inspectorate","MAERSK","CMA CGM","2022-08-17","1320","2022-08-29","0","38","237739812","2022-12-20","60","0000-00-00","100","2022-05-22","","","CASABLANCA","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1443","Draft","18452","Paid\"
"Local Market","2022-03-01","Morocco","LAGOS","Container","GREEFOS","Vial/Vitafort","MDCP","0","1 pallet per 2 BB","Phosfeed","4400","22","CFR","Invoiced","CONFIRMED","Cable bank transfer","15","610","30","40","1743","577","SVN","SEALAND","Inspectorate","MAERSK","MAERSK","2022-08-17","110","2022-05-29","0","36","0","2022-06-18","15","2022-06-23","440","0000-00-00","","40' Dry","JORF LASFAR","137986.14","2280.23","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed Customer","18452","Paid\"
"Asia","2022-07-03","Nigeria","LAGOS","Container","CPF (Thailand) Public Company Limited","CP Group","MDCP","0","1 pallet per 2 BB","Phosfeed","440","20","CFR","Delivery in progress","CONFIRMED","D/A","0","740","44","40","1843","578","SVN","CMA CGM","Inspectorate","SEALAND","CMA CGM","2022-11-19","110","2022-04-27","19","33","1236876312","0000-00-00","25","2022-12-25","440","2022-06-23","","","CASABLANCA","116","2280.23","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1383","Signed OCP","18732","Paid\"
"Africa","2022-10-04","Greece","","Container","ESIFAR","ESIFAR","MDCP","0","1 pallet per 2 BB","Neutre","4400","20","CFR","Deal concluded","CONFIRMED","CAD","15","730","44","37","1435","579","ONCF","MAERSK","Inspectorate","MAERSK","CMA CGM","2022-11-18","110","2022-05-29","19","36","0","0000-00-00","60","2022-06-23","4434","2022-09-23","","40' Dry","JORF LASFAR","119178.58","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","18668","Paid\"
"Asia","2022-07-03","Nigeria","","Container","ESIFAR","Vial/Vitafort","MCP","0","1 pallet per 2 BB","Phosfeed","100","20","CIF","Finalized","CONFIRMED","Cable bank transfer","0","610","0","37","1634","580","ONCF","HAPAG LLOYD","Inspectorate","MAERSK","CMA CGM","2022-04-15","4840","2022-04-27","27","38","0","2022-06-18","30","2022-09-23","550","2022-06-23","","40' Dry","TANGER","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1383","Signed OCP","18668","Paid\"
"Local Market","2022-10-04","Greece","LAGOS","Vessel","GREEFOS","ESIFAR","DCP","0","1 pallet per BB","Phosfeed","440","20","CFR","Deal concluded","CONFIRMED","CAD","60","730","30","40","1743","581","IPSEN","CMA CGM","Inspectorate","BDP","HAPAG LLOYD","2022-08-17","605","2022-08-29","33","0","0","2022-09-18","0","2022-05-22","440","2022-06-23","","20'","","0","0","0","2","0","0","0","0","0","0","1","0","0","Sent","1982","Signed Customer","19832","Paid\"
"Local Market","2022-10-04","Thailand","LAT KRABANG","Container","Vial/Vitafort","GREEFOS","DCP","0","1 pallet per BB","Phosfeed","550","20","CFR","Deal concluded","CONFIRMED","L/C","60","730","25","37","1634","582","IPSEN","MAERSK","Inspectorate","SEALAND","MAERSK","2022-08-17","484","2022-08-29","33","36","237739812","2022-05-17","60","2022-12-25","1200","2022-12-25","","20'","CASABLANCA","0","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed OCP","18668","Not Paid\"
"Africa","2022-07-03","Argentina","THESSALONIKI","Container","ESIFAR","ALF AMMAR","DCP","0","1 pallet per BB","Phosfeed","550","20","CFR","Invoiced","CONFIRMED","L/C","45","730","44","0","1843","583","SVN","CMA CGM","Inspectorate","BDP","SEALAND","2022-04-15","605","2022-08-29","27","33","237739812","0000-00-00","30","2022-06-23","100","2022-05-22","","20'","JORF LASFAR","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","18732","Paid\"
"Americas","2022-04-02","Morocco","","Vessel","ESIFAR","CP Group","DCP","0","1 pallet per BB","Phosfeed","1200","22","CFR","Delivery in progress","CONFIRMED","D/A","60","690","20","37","1843","584","ONCF","SEALAND","Inspectorate","MAERSK","SEALAND","2022-11-18","484","0000-00-00","19","38","0","2022-05-17","25","2022-05-22","440","2022-12-25","","20'","TANGER","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Signed OCP","18452","Paid\"
"Americas","2022-10-04","Nigeria","LAT KRABANG","Vessel","GREEFOS","GREEFOS","DCP","0","1 pallet per BB","Phosfeed","550","22","CFR","Deal concluded","CONFIRMED","D/A","90","730","44","37","1435","585","SVN","MAERSK","Inspectorate","HAPAG LLOYD","CMA CGM","2022-11-19","4840","2022-04-27","33","40","1236876312","2022-05-17","25","2022-09-23","100","0000-00-00","","20'","CASABLANCA","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed Customer","19832","Paid\"
"Local Market","2022-07-03","Argentina","BUENOS AIRES","Vessel","ALF AMMAR","CP Group","MDCP","0","1 pallet per 2 BB","Phosfeed","4400","25","CFR","Deal concluded","CONFIRMED","Cable bank transfer","90","690","44","35","1843","586","IPSEN","HAPAG LLOYD","Inspectorate","BDP","MAERSK","2022-08-17","4840","2022-08-29","27","36","0","2022-09-18","30","0000-00-00","100","2022-12-25","","20'","TANGER","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1443","Signed OCP","19423","Not Paid\"
"Asia","2022-10-04","Nigeria","","Container","GREEFOS","GREEFOS","MCP","0","1 pallet per BB","Phosfeed","550","22","EXW","Invoiced","CONFIRMED","Cable bank transfer","90","610","20","0","1743","587","SVN","GAMMA","Inspectorate","CMA CGM","MAERSK","2022-11-19","110","2022-08-29","33","36","0","2022-05-17","30","0000-00-00","4434","2022-05-22","","20'","CASABLANCA","0","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1982","Signed OCP","18732","Paid\"
"Europe","2022-07-03","Morocco","BUENOS AIRES","Container","CPF (Thailand) Public Company Limited","GREEFOS","MDCP","0","1 pallet per BB","Phosfeed","100","22","CFR","Deal concluded","CONFIRMED","D/A","15","610","44","37","1743","588","SVN","MAERSK","Inspectorate","MAERSK","SEALAND","2022-11-19","484","2022-04-27","33","40","0","2022-12-20","25","2022-05-22","1200","2022-09-23","","20'","TANGER","0","0","0","0","84.91","0","0","0","0","0","1","0","0","Sent","1398","Draft","19832","Paid\"
"Europe","2022-03-01","Nigeria","","Container","GREEFOS","ESIFAR","MDCP","0","1 pallet per BB","Phosfeed","1200","20","CIF","Invoiced","CONFIRMED","L/C","15","730","30","37","1772","589","SVN","MAERSK","Inspectorate","BDP","SEALAND","2022-11-19","110","2022-11-30","0","0","237739812","2022-06-18","30","0000-00-00","1200","2022-09-23","","","TANGER","137986.14","0","0","0","84.91","0","0","0","0","3","0","0","0","Sent","1383","Draft","18668","Not Paid\"
"Americas","2022-07-03","Greece","THESSALONIKI","Container","ALF AMMAR","ALF AMMAR","MDCP","0","1 pallet per BB","Phosfeed","4400","20","CFR","Deal concluded","CONFIRMED","CAD","0","610","30","0","1843","590","IPSEN","CMA CGM","Inspectorate","CMA CGM","MAERSK","2022-04-15","1320","0000-00-00","19","40","237739812","2022-12-20","15","2022-12-25","440","2022-06-23","","20'","JORF LASFAR","0","0","0","0","0","0","0","0","0","3","1","0","0","Sent","1443","Signed OCP","19423","Not Paid\"
"Americas","2022-07-03","Thailand","BUENOS AIRES","Vessel","GREEFOS","ESIFAR","MDCP","0","1 pallet per 2 BB","Neutre","4400","20","CFR","Invoiced","CONFIRMED","Cable bank transfer","15","610","25","37","1843","591","SVN","MAERSK","Inspectorate","BDP","MAERSK","2022-08-17","484","2022-05-29","40","40","237739812","2022-12-20","60","2022-09-23","550","2022-12-25","","","TANGER","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","18452","Paid\"
"Americas","2022-10-05","Nigeria","THESSALONIKI","Vessel","CPF (Thailand) Public Company Limited","GREEFOS","MDCP","0","1 pallet per BB","Phosfeed","550","22","CFR","Deal concluded","CONFIRMED","L/C","60","780","0","37","1435","592","IPSEN","HAPAG LLOYD","Inspectorate","MAERSK","MAERSK","2022-08-17","605","2022-08-29","40","40","0","2022-09-18","60","2022-06-23","440","2022-12-25","","40' Dry","","0","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1443","Draft","18732","Paid\"
"Americas","2022-04-02","Thailand","THESSALONIKI","Container","Vial/Vitafort","GREEFOS","MCP","0","1 pallet per BB","Neutre","440","22","EXW","Finalized","CONFIRMED","D/A","45","730","30","0","1772","593","SVN","HAPAG LLOYD","Inspectorate","SEALAND","SEALAND","2022-11-18","110","2022-04-27","0","36","0","2022-05-17","30","2022-05-22","440","2022-06-23","","20'","JORF LASFAR","0","2280.23","0","0","0","0","0","0","0","3","0","0","0","Sent","1382","Signed OCP","18732","Paid\"
"Africa","2022-03-01","Nigeria","LAT KRABANG","Container","CPF (Thailand) Public Company Limited","ESIFAR","MCP","0","1 pallet per BB","Phosfeed","4400","20","CFR","Finalized","CONFIRMED","Cable bank transfer","0","690","25","37","1843","594","SVN","SEALAND","Inspectorate","SEALAND","MAERSK","2022-04-15","484","2022-11-30","19","36","237739812","2022-09-18","25","2022-09-23","100","2022-06-23","","20'","CASABLANCA","116","0","0","0","0","0","0","0","0","3","0","0","0","Sent","1382","Signed OCP","19832","Not Paid\"
"Local Market","2022-04-02","Nigeria","LAGOS","Vessel","ESIFAR","CP Group","MDCP","0","1 pallet per 2 BB","Phosfeed","4400","25","CFR","Delivery in progress","CONFIRMED","Cable bank transfer","60","730","30","37","1843","595","IPSEN","GAMMA","Inspectorate","CMA CGM","HAPAG LLOYD","2022-05-17","484","2022-08-29","19","33","0","2022-12-20","25","2022-06-23","550","2022-09-23","","20'","","116","0","0","2","0","0","0","0","0","3","0","0","0","Sent","1443","Signed Customer","19423","Paid\"
"Europe","2022-10-05","Argentina","BUENOS AIRES","Container","CPF (Thailand) Public Company Limited","CP Group","MDCP","0","1 pallet per BB","Phosfeed","550","22","CFR","Deal concluded","CONFIRMED","Cable bank transfer","45","780","30","0","1743","596","IPSEN","CMA CGM","Inspectorate","SEALAND","MAERSK","2022-11-18","4840","0000-00-00","40","33","237739812","2022-05-17","30","2022-09-23","100","0000-00-00","","20'","CASABLANCA","119178.58","2280.23","0","0","0","0","0","0","0","3","0","0","0","Sent","1398","Draft","19832","Paid\"
"Europe","2022-03-01","Morocco","","Truck","GREEFOS","ESIFAR","MCP","0","1 pallet per 2 BB","Phosfeed","100","20","CIF","Finalized","CONFIRMED","CAD","45","690","0","0","1772","597","IPSEN","GAMMA","Inspectorate","SEALAND","CMA CGM","2022-05-17","110","2022-08-29","19","40","0","2022-12-20","60","2022-09-23","550","2022-06-23","","40' Dry","TANGER","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1383","Signed OCP","18452","Paid\"
"Africa","2022-10-05","Nigeria","LAGOS","Container","GREEFOS","GREEFOS","MCP","0","1 pallet per BB","Phosfeed","4400","20","CFR","Invoiced","CONFIRMED","CAD","60","610","25","40","1772","598","IPSEN","GAMMA","Inspectorate","SEALAND","CMA CGM","2022-08-17","4840","2022-04-27","33","36","1236876312","2022-09-18","60","0000-00-00","440","0000-00-00","","20'","JORF LASFAR","137986.14","0","0","0","0","0","0","0","0","3","0","0","0","Sent","1383","Signed OCP","18668","Paid\"
"Asia","2022-04-02","Morocco","THESSALONIKI","Vessel","CPF (Thailand) Public Company Limited","ALF AMMAR","MDCP","0","1 pallet per BB","Neutre","1200","20","CFR","Deal concluded","CONFIRMED","CAD","0","730","30","0","1843","599","ONCF","SEALAND","Inspectorate","HAPAG LLOYD","HAPAG LLOYD","2022-08-17","4840","2022-05-29","0","36","0","2022-09-18","0","2022-05-22","440","2022-06-23","","40' Dry","JORF LASFAR","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","18452","Not Paid\"
"Africa","2022-10-04","Thailand","","Container","Vial/Vitafort","Vial/Vitafort","MCP","0","1 pallet per BB","Phosfeed","550","22","EXW","Deal concluded","CONFIRMED","Cable bank transfer","15","690","0","37","1843","600","ONCF","MAERSK","Inspectorate","BDP","HAPAG LLOYD","2022-11-19","605","2022-08-29","0","36","237739812","2022-06-18","30","0000-00-00","1200","2022-12-25","","20'","","137986.14","0","0","2","84.91","0","0","0","0","0","0","0","0","Sent","1398","Draft","18668","Not Paid\"
"Local Market","2022-07-03","Argentina","THESSALONIKI","Container","GREEFOS","ALF AMMAR","MDCP","0","1 pallet per 2 BB","Neutre","440","22","EXW","Delivery in progress","CONFIRMED","Cable bank transfer","0","610","44","40","1843","601","IPSEN","GAMMA","Inspectorate","BDP","SEALAND","2022-08-17","110","2022-11-30","27","38","237739812","2022-12-20","15","2022-12-25","100","2022-12-25","","20'","CASABLANCA","137986.14","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1443","Signed OCP","19832","Paid\"
"Africa","2022-04-02","Argentina","","Container","ESIFAR","GREEFOS","MCP","0","1 pallet per 2 BB","Phosfeed","4400","20","CFR","Deal concluded","CONFIRMED","L/C","90","740","0","37","1743","602","SVN","HAPAG LLOYD","Inspectorate","MAERSK","HAPAG LLOYD","2022-05-17","4840","2022-11-30","40","40","0","2022-06-18","60","2022-05-22","4434","2022-05-22","","20'","TANGER","116","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1443","Signed OCP","18452","Paid\"
"Africa","2022-03-01","Greece","THESSALONIKI","Container","ALF AMMAR","Vial/Vitafort","MDCP","0","1 pallet per 2 BB","Phosfeed","4400","22","EXW","Invoiced","CONFIRMED","CAD","15","610","30","37","1843","603","IPSEN","SEALAND","Inspectorate","BDP","CMA CGM","2022-05-17","4840","2022-11-30","0","36","0","2022-12-20","0","0000-00-00","100","2022-12-25","","20'","CASABLANCA","116","0","0","0","84.91","0","0","0","0","3","1","0","0","Sent","1382","Signed OCP","18452","Paid\"
"Europe","2022-10-05","Nigeria","LAGOS","Vessel","Vial/Vitafort","ESIFAR","MDCP","0","1 pallet per 2 BB","Phosfeed","1200","20","CIF","Invoiced","CONFIRMED","CAD","15","690","30","40","1843","604","SVN","GAMMA","Inspectorate","BDP","CMA CGM","2022-11-18","484","0000-00-00","19","0","0","2022-12-20","0","0000-00-00","440","2022-05-22","","40' Dry","TANGER","0","2280.23","0","2","84.91","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","19423","Not Paid\"
"Asia","2022-03-01","Greece","LAGOS","Container","ALF AMMAR","ESIFAR","MDCP","0","1 pallet per 2 BB","Neutre","4400","22","EXW","Deal concluded","CONFIRMED","Cable bank transfer","0","740","0","40","1435","605","ONCF","MAERSK","Inspectorate","BDP","HAPAG LLOYD","2022-04-15","110","0000-00-00","19","36","1236876312","2022-05-17","60","2022-12-25","100","2022-06-23","","20'","JORF LASFAR","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1982","Signed OCP","18452","Not Paid\"
"Asia","2022-03-01","Morocco","THESSALONIKI","Container","GREEFOS","GREEFOS","MDCP","0","1 pallet per 2 BB","Phosfeed","1200","22","CFR","Delivery in progress","CONFIRMED","D/A","0","780","0","40","1772","606","SVN","CMA CGM","Inspectorate","CMA CGM","MAERSK","2022-05-17","484","2022-04-27","40","36","1236876312","2022-12-20","25","2022-12-25","100","2022-12-25","","20'","JORF LASFAR","119178.58","0","0","2","0","0","0","0","0","3","0","0","0","Sent","1443","Draft","18668","Paid\"
"Europe","2022-03-01","Argentina","LAT KRABANG","Truck","Vial/Vitafort","ALF AMMAR","DCP","0","1 pallet per 2 BB","Neutre","1200","22","CFR","Deal concluded","CONFIRMED","L/C","60","690","0","37","1772","607","IPSEN","GAMMA","Inspectorate","MAERSK","MAERSK","2022-11-18","4840","2022-08-29","19","0","0","2022-06-18","15","2022-05-22","550","0000-00-00","","40' Dry","TANGER","137986.14","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1982","Signed Customer","19423","Paid\"
"Local Market","2022-07-03","Thailand","","Container","CPF (Thailand) Public Company Limited","GREEFOS","MDCP","0","1 pallet per 2 BB","Phosfeed","440","22","CIF","Invoiced","CONFIRMED","Cable bank transfer","90","780","0","37","1634","608","ONCF","CMA CGM","Inspectorate","SEALAND","CMA CGM","2022-08-17","605","2022-11-30","33","38","0","0000-00-00","0","2022-12-25","1200","0000-00-00","","40' Dry","JORF LASFAR","119178.58","2280.23","0","0","0","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","18732","Paid\"
"Europe","2022-04-02","Morocco","LAGOS","Container","ESIFAR","Vial/Vitafort","MCP","0","1 pallet per 2 BB","Phosfeed","440","22","CFR","Delivery in progress","CONFIRMED","Cable bank transfer","15","730","20","40","1743","609","IPSEN","CMA CGM","Inspectorate","SEALAND","MAERSK","2022-08-17","4840","2022-04-27","0","40","1236876312","2022-06-18","0","0000-00-00","4434","2022-06-23","","","TANGER","0","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1398","Draft","19423","Not Paid\"
"Americas","2022-04-02","Argentina","LAGOS","Truck","ESIFAR","ESIFAR","DCP","0","1 pallet per BB","Phosfeed","440","20","CFR","Deal concluded","CONFIRMED","D/A","0","730","25","35","1743","610","SVN","SEALAND","Inspectorate","MAERSK","SEALAND","2022-11-19","110","2022-08-29","0","36","0","2022-12-20","30","2022-09-23","550","2022-05-22","","20'","","119178.58","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1383","Signed OCP","18452","Not Paid\"
"Africa","2022-10-05","Argentina","","Container","Vial/Vitafort","CP Group","MDCP","0","1 pallet per 2 BB","Phosfeed","100","22","EXW","Invoiced","CONFIRMED","CAD","45","730","0","0","1743","611","IPSEN","MAERSK","Inspectorate","MAERSK","SEALAND","2022-04-15","110","2022-11-30","27","33","0","2022-09-18","15","2022-05-22","4434","2022-06-23","","40' Dry","JORF LASFAR","137986.14","0","0","0","84.91","0","0","0","0","3","0","0","0","Sent","1398","Signed OCP","19832","Not Paid\"
"Africa","2022-07-03","Greece","LAGOS","Container","CPF (Thailand) Public Company Limited","ALF AMMAR","MCP","0","1 pallet per 2 BB","Phosfeed","1200","25","CFR","Deal concluded","CONFIRMED","Cable bank transfer","45","690","30","37","1634","612","IPSEN","CMA CGM","Inspectorate","HAPAG LLOYD","SEALAND","2022-11-19","110","2022-04-27","33","0","1236876312","2022-09-18","0","0000-00-00","1200","2022-09-23","","20'","CASABLANCA","0","0","0","2","0","0","0","0","0","3","0","0","0","Sent","1398","Signed Customer","18668","Paid\"
"Europe","2022-07-03","Argentina","LAT KRABANG","Container","GREEFOS","Vial/Vitafort","MDCP","0","1 pallet per 2 BB","Phosfeed","440","22","EXW","Finalized","CONFIRMED","Cable bank transfer","45","740","25","40","1435","613","SVN","MAERSK","Inspectorate","CMA CGM","HAPAG LLOYD","2022-11-19","1320","2022-05-29","27","36","237739812","2022-05-17","15","2022-06-23","100","2022-12-25","","","","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed OCP","18668","Paid\"
"Americas","2022-07-03","Argentina","BUENOS AIRES","Container","CPF (Thailand) Public Company Limited","ESIFAR","MCP","0","1 pallet per BB","Phosfeed","4400","20","CFR","Finalized","CONFIRMED","Cable bank transfer","60","610","30","0","1435","614","ONCF","MAERSK","Inspectorate","HAPAG LLOYD","HAPAG LLOYD","2022-04-15","484","0000-00-00","0","40","0","2022-06-18","30","0000-00-00","4434","2022-05-22","","","CASABLANCA","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1443","Signed Customer","18452","Paid\"
"Europe","2022-04-02","Nigeria","LAT KRABANG","Container","ALF AMMAR","ALF AMMAR","MDCP","0","1 pallet per BB","Phosfeed","1200","20","CIF","Finalized","CONFIRMED","D/A","15","690","30","35","1743","615","ONCF","SEALAND","Inspectorate","HAPAG LLOYD","SEALAND","2022-11-18","1320","0000-00-00","0","38","237739812","2022-06-18","15","2022-06-23","4434","0000-00-00","","","JORF LASFAR","137986.14","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1398","Signed Customer","19832","Not Paid\"
"Americas","2022-04-02","Thailand","","Container","CPF (Thailand) Public Company Limited","Vial/Vitafort","MDCP","0","1 pallet per BB","Phosfeed","550","22","EXW","Delivery in progress","CONFIRMED","Cable bank transfer","45","740","44","40","1435","616","ONCF","GAMMA","Inspectorate","BDP","MAERSK","2022-04-15","605","2022-04-27","0","33","0","2022-09-18","30","2022-06-23","1200","2022-05-22","","","","137986.14","2280.23","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed OCP","19832","Paid\"
"Local Market","2022-04-02","Argentina","","Vessel","ALF AMMAR","ALF AMMAR","MDCP","0","1 pallet per BB","Neutre","1200","22","CFR","Deal concluded","CONFIRMED","Cable bank transfer","90","740","30","0","1634","617","IPSEN","GAMMA","Inspectorate","HAPAG LLOYD","MAERSK","2022-04-15","1320","2022-04-27","40","36","0","2022-06-18","30","2022-05-22","440","2022-12-25","","20'","TANGER","137986.14","2280.23","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1382","Signed Customer","18732","Paid\"
"Africa","2022-10-05","Nigeria","LAT KRABANG","Container","ALF AMMAR","ALF AMMAR","MCP","0","1 pallet per BB","Phosfeed","1200","22","CFR","Deal concluded","CONFIRMED","Cable bank transfer","45","610","25","40","1634","618","SVN","SEALAND","Inspectorate","MAERSK","CMA CGM","2022-11-19","484","2022-08-29","0","36","237739812","0000-00-00","60","2022-06-23","440","2022-05-22","","20'","CASABLANCA","116","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1382","Signed OCP","18452","Paid\"
"Asia","2022-10-04","Thailand","LAT KRABANG","Vessel","GREEFOS","CP Group","MCP","0","1 pallet per BB","Phosfeed","100","22","EXW","Delivery in progress","CONFIRMED","D/A","0","740","30","37","1843","619","IPSEN","MAERSK","Inspectorate","CMA CGM","CMA CGM","2022-11-18","1320","2022-11-30","0","38","0","2022-05-17","25","2022-06-23","1200","0000-00-00","","40' Dry","CASABLANCA","116","0","0","0","0","0","0","0","0","0","0","0","0","Sent","1398","Signed OCP","18668","Paid\"
"Americas","2022-03-01","Nigeria","","Truck","CPF (Thailand) Public Company Limited","ESIFAR","DCP","0","1 pallet per BB","Phosfeed","550","22","CFR","Deal concluded","CONFIRMED","D/A","60","690","44","37","1634","620","SVN","SEALAND","Inspectorate","SEALAND","CMA CGM","2022-11-18","1320","2022-05-29","27","0","0","2022-05-17","25","2022-05-22","1200","2022-09-23","","20'","","137986.14","2280.23","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1982","Signed OCP","19423","Not Paid\"
"Africa","2022-04-02","Greece","BUENOS AIRES","Vessel","GREEFOS","ALF AMMAR","MCP","0","1 pallet per BB","Phosfeed","4400","22","CFR","Deal concluded","CONFIRMED","Cable bank transfer","45","690","20","37","1435","621","IPSEN","SEALAND","Inspectorate","HAPAG LLOYD","MAERSK","2022-11-19","1320","2022-04-27","19","38","1236876312","2022-09-18","60","2022-12-25","100","2022-12-25","","40' Dry","JORF LASFAR","116","0","0","0","0","0","0","0","0","0","1","0","0","Sent","1443","Signed Customer","18668","Not Paid\"
"Africa","2022-03-01","Argentina","THESSALONIKI","Vessel","GREEFOS","ESIFAR","MDCP","0","1 pallet per BB","Phosfeed","1200","25","EXW","Invoiced","CONFIRMED","CAD","90","730","44","40","1634","622","SVN","MAERSK","Inspectorate","HAPAG LLOYD","SEALAND","2022-05-17","110","2022-08-29","0","36","0","2022-06-18","25","2022-05-22","1200","2022-06-23","","20'","JORF LASFAR","119178.58","2280.23","0","0","0","0","0","0","0","0","0","0","0","Sent","1382","Signed Customer","18668","Paid\"
"Local Market","2022-10-04","Nigeria","LAT KRABANG","Container","GREEFOS","ESIFAR","MCP","0","1 pallet per BB","Phosfeed","550","22","EXW","Finalized","CONFIRMED","CAD","15","740","20","0","1843","623","ONCF","CMA CGM","Inspectorate","CMA CGM","MAERSK","2022-08-17","110","0000-00-00","40","0","1236876312","0000-00-00","15","2022-09-23","1200","2022-06-23","","40' Dry","CASABLANCA","119178.58","0","0","0","84.91","0","0","0","0","0","0","0","0","Sent","1382","Draft","18732","Paid\"
