did,Region,Status,Status II,Volume per container,Estimated Freight,Country,Discharging Port,Type TC,Delivery Mode,Avis de Chargement status,Fret réel,Transit time,Supplier,Shipped Via,Shipping Line ,PORT LOADING,Transporter,1/2 jours,1 JOURS,2 JOURS,3 JOURS
301,Europe,Finalized,CONFIRMED,20,0,Thailand,,,Truck,Sent,40,15.0,ONCF,CMA CGM,MAERSK,TANGER,SEALAND,,,,0.0
302,Africa,Deal concluded,CONFIRMED,20,44,Greece,THESSALONIKI,20',Container,Sent,33,15.0,SVN,HAPAG LLOYD,MAERSK,TANGER,CMA CGM,,,0.0,
303,Africa,Finalized,CONFIRMED,22,0,Thailand,,,Truck,Sent,33,,IPSEN,MAERSK,SEALAND,TANGER,HAPAG LLOYD,,,0.0,
304,Europe,Delivery in progress,CONFIRMED,25,25,Argentina,LAT KRABANG,20',Container,Sent,19,15.0,IPSEN,CMA CGM,MAERSK,,GAMMA,,1.0,,
305,Asia,Finalized,CONFIRMED,22,30,Thailand,THESSALONIKI,40' Dry,Container,Sent,40,,IPSEN,MAERSK,SEALAND,TANGER,HAPAG LLOYD,3.0,,,
306,Americas,Invoiced,CONFIRMED,20,44,Morocco,THESSALONIKI,,Truck,Sent,0,25.0,IPSEN,MAERSK,HAPAG LLOYD,CASABLANCA,GAMMA,,,,
307,Europe,Deal concluded,CONFIRMED,22,20,Greece,LAT KRABANG,20',Container,Sent,0,15.0,IPSEN,CMA CGM,MAERSK,CASABLANCA,HAPAG LLOYD,,,0.0,0.0
308,Local Market,Delivery in progress,CONFIRMED,25,0,Morocco,THESSALONIKI,40' Dry,Container,Sent,33,15.0,ONCF,SEALAND,BDP,CASABLANCA,SEALAND,3.0,,,
309,Africa,Finalized,CONFIRMED,22,20,Thailand,LAGOS,,Vessel,Sent,0,15.0,IPSEN,MAERSK,CMA CGM,TANGER,CMA CGM,,,,
310,Americas,Delivery in progress,CONFIRMED,22,20,Nigeria,LAT KRABANG,40' Dry,Container,Sent,40,60.0,SVN,SEALAND,HAPAG LLOYD,,MAERSK,3.0,1.0,,
311,Europe,Deal concluded,CONFIRMED,20,25,Thailand,LAT KRABANG,40' Dry,Container,Sent,19,60.0,ONCF,SEALAND,MAERSK,,SEALAND,,,0.0,
312,Africa,Invoiced,CONFIRMED,22,30,Argentina,BUENOS AIRES,20',Container,Sent,40,30.0,SVN,SEALAND,MAERSK,,CMA CGM,,,,
313,Local Market,Delivery in progress,CONFIRMED,22,44,Greece,LAGOS,,Container,Sent,33,25.0,IPSEN,MAERSK,SEALAND,,GAMMA,3.0,,,
314,Local Market,Deal concluded,CONFIRMED,22,0,Greece,,20',Container,Sent,33,15.0,IPSEN,MAERSK,CMA CGM,JORF LASFAR,SEALAND,,,,
315,Local Market,Delivery in progress,CONFIRMED,22,20,Greece,LAGOS,20',Container,Sent,0,,ONCF,MAERSK,HAPAG LLOYD,CASABLANCA,GAMMA,,1.0,0.0,0.0
316,Africa,Invoiced,CONFIRMED,20,0,Greece,LAGOS,40' Dry,Container,Sent,33,,IPSEN,MAERSK,BDP,TANGER,GAMMA,,,,
317,Africa,Deal concluded,CONFIRMED,20,44,Nigeria,LAGOS,20',Truck,Sent,19,15.0,ONCF,SEALAND,SEALAND,CASABLANCA,GAMMA,,,0.0,
318,Local Market,Finalized,CONFIRMED,20,44,Thailand,BUENOS AIRES,20',Vessel,Sent,33,,SVN,HAPAG LLOYD,HAPAG LLOYD,TANGER,HAPAG LLOYD,,,,
319,Local Market,Deal concluded,CONFIRMED,22,30,Argentina,THESSALONIKI,20',Container,Sent,40,15.0,SVN,MAERSK,MAERSK,CASABLANCA,GAMMA,3.0,,0.0,
320,Africa,Delivery in progress,CONFIRMED,20,0,Greece,THESSALONIKI,,Container,Sent,0,30.0,SVN,MAERSK,CMA CGM,TANGER,MAERSK,,1.0,,
321,Local Market,Invoiced,CONFIRMED,22,44,Argentina,THESSALONIKI,,Truck,Sent,40,15.0,IPSEN,MAERSK,HAPAG LLOYD,,MAERSK,,,,
322,Local Market,Invoiced,CONFIRMED,20,0,Argentina,THESSALONIKI,20',Container,Sent,33,30.0,SVN,MAERSK,HAPAG LLOYD,,CMA CGM,,,,
323,Local Market,Finalized,CONFIRMED,25,20,Greece,LAGOS,,Vessel,Sent,40,,ONCF,SEALAND,MAERSK,CASABLANCA,SEALAND,,,,0.0
324,Asia,Deal concluded,CONFIRMED,22,25,Greece,,20',Truck,Sent,40,60.0,IPSEN,MAERSK,SEALAND,CASABLANCA,GAMMA,3.0,,,
325,Africa,Deal concluded,CONFIRMED,22,20,Nigeria,THESSALONIKI,20',Container,Sent,0,30.0,SVN,MAERSK,CMA CGM,,MAERSK,,,,
326,Asia,Invoiced,CONFIRMED,20,44,Argentina,,40' Dry,Container,Sent,33,15.0,IPSEN,HAPAG LLOYD,BDP,JORF LASFAR,HAPAG LLOYD,,,,
327,Asia,Finalized,CONFIRMED,20,44,Greece,LAGOS,20',Truck,Sent,40,,ONCF,CMA CGM,BDP,,HAPAG LLOYD,,,,
328,Americas,Delivery in progress,CONFIRMED,20,20,Thailand,THESSALONIKI,20',Container,Sent,0,25.0,SVN,MAERSK,MAERSK,JORF LASFAR,HAPAG LLOYD,,,,
329,Africa,Deal concluded,CONFIRMED,22,0,Nigeria,LAGOS,40' Dry,Vessel,Sent,0,,SVN,CMA CGM,CMA CGM,CASABLANCA,GAMMA,,,,0.0
330,Americas,Finalized,CONFIRMED,20,0,Greece,THESSALONIKI,20',Container,Sent,40,30.0,SVN,MAERSK,CMA CGM,JORF LASFAR,HAPAG LLOYD,,,0.0,
331,Americas,Deal concluded,CONFIRMED,20,30,Nigeria,BUENOS AIRES,20',Container,Sent,33,,SVN,HAPAG LLOYD,CMA CGM,TANGER,HAPAG LLOYD,,,,
332,Americas,Finalized,CONFIRMED,20,20,Morocco,BUENOS AIRES,20',Truck,Sent,27,30.0,ONCF,SEALAND,CMA CGM,JORF LASFAR,MAERSK,,,,
333,Asia,Deal concluded,CONFIRMED,22,44,Morocco,LAGOS,20',Container,Sent,33,25.0,ONCF,MAERSK,BDP,JORF LASFAR,CMA CGM,,,0.0,
334,Local Market,Invoiced,CONFIRMED,20,30,Nigeria,LAT KRABANG,20',Container,Sent,0,25.0,SVN,SEALAND,MAERSK,JORF LASFAR,SEALAND,,,,0.0
335,Americas,Deal concluded,CONFIRMED,22,30,Argentina,,20',Truck,Sent,33,60.0,IPSEN,MAERSK,BDP,JORF LASFAR,HAPAG LLOYD,3.0,,0.0,0.0
336,Europe,Invoiced,CONFIRMED,20,20,Argentina,BUENOS AIRES,,Vessel,Sent,0,,IPSEN,MAERSK,MAERSK,TANGER,MAERSK,,,,
337,Europe,Finalized,CONFIRMED,22,44,Greece,THESSALONIKI,20',Container,Sent,33,30.0,IPSEN,MAERSK,SEALAND,,CMA CGM,,1.0,,
338,Europe,Finalized,CONFIRMED,22,30,Greece,THESSALONIKI,40' Dry,Container,Sent,40,30.0,IPSEN,HAPAG LLOYD,BDP,CASABLANCA,GAMMA,3.0,,,
339,Asia,Deal concluded,CONFIRMED,22,44,Argentina,,20',Vessel,Sent,27,,IPSEN,SEALAND,MAERSK,,SEALAND,,1.0,,
340,Asia,Finalized,CONFIRMED,20,30,Morocco,LAGOS,20',Truck,Sent,33,30.0,ONCF,MAERSK,MAERSK,JORF LASFAR,GAMMA,,1.0,0.0,0.0
341,Asia,Deal concluded,CONFIRMED,20,25,Thailand,LAT KRABANG,20',Truck,Sent,33,,SVN,HAPAG LLOYD,SEALAND,CASABLANCA,SEALAND,,1.0,,
342,Local Market,Deal concluded,CONFIRMED,22,20,Greece,LAT KRABANG,40' Dry,Vessel,Sent,27,60.0,SVN,CMA CGM,SEALAND,JORF LASFAR,SEALAND,,,,
343,Americas,Deal concluded,CONFIRMED,22,44,Thailand,,20',Container,Sent,0,60.0,SVN,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,SEALAND,,,,
344,Local Market,Invoiced,CONFIRMED,22,25,Nigeria,LAT KRABANG,20',Container,Sent,0,25.0,SVN,CMA CGM,BDP,,GAMMA,,1.0,,
345,Africa,Invoiced,CONFIRMED,20,30,Greece,BUENOS AIRES,20',Container,Sent,0,,IPSEN,MAERSK,CMA CGM,TANGER,MAERSK,,,0.0,
346,Asia,Delivery in progress,CONFIRMED,22,44,Thailand,,20',Container,Sent,19,30.0,IPSEN,MAERSK,HAPAG LLOYD,CASABLANCA,MAERSK,,,,
347,Europe,Deal concluded,CONFIRMED,22,30,Argentina,LAGOS,40' Dry,Vessel,Sent,27,15.0,SVN,HAPAG LLOYD,BDP,,MAERSK,,,,
348,Local Market,Finalized,CONFIRMED,20,25,Nigeria,BUENOS AIRES,20',Container,Sent,40,60.0,SVN,HAPAG LLOYD,SEALAND,CASABLANCA,GAMMA,,1.0,,
349,Africa,Delivery in progress,CONFIRMED,22,0,Thailand,,,Vessel,Sent,40,,SVN,CMA CGM,MAERSK,TANGER,SEALAND,,,,
350,Local Market,Deal concluded,CONFIRMED,20,44,Thailand,,20',Container,Sent,33,25.0,IPSEN,MAERSK,MAERSK,CASABLANCA,GAMMA,,,,
351,Europe,Deal concluded,CONFIRMED,22,25,Nigeria,THESSALONIKI,20',Container,Sent,27,30.0,SVN,CMA CGM,MAERSK,JORF LASFAR,GAMMA,,,,0.0
352,Local Market,Invoiced,CONFIRMED,22,44,Greece,,20',Truck,Sent,27,60.0,IPSEN,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,HAPAG LLOYD,,,0.0,
353,Africa,Invoiced,CONFIRMED,20,20,Thailand,THESSALONIKI,40' Dry,Container,Sent,27,15.0,IPSEN,MAERSK,MAERSK,CASABLANCA,MAERSK,,,,
354,Americas,Deal concluded,CONFIRMED,20,44,Argentina,LAT KRABANG,,Container,Sent,19,60.0,SVN,HAPAG LLOYD,SEALAND,,HAPAG LLOYD,,,0.0,
355,Local Market,Deal concluded,CONFIRMED,22,44,Argentina,LAT KRABANG,40' Dry,Container,Sent,33,30.0,SVN,SEALAND,BDP,TANGER,CMA CGM,3.0,,,
356,Local Market,Deal concluded,CONFIRMED,20,25,Morocco,,40' Dry,Container,Sent,0,,SVN,CMA CGM,SEALAND,TANGER,GAMMA,,1.0,,
357,Americas,Invoiced,CONFIRMED,25,20,Thailand,BUENOS AIRES,20',Container,Sent,27,30.0,IPSEN,HAPAG LLOYD,CMA CGM,CASABLANCA,HAPAG LLOYD,3.0,,,
358,Africa,Deal concluded,CONFIRMED,20,25,Greece,BUENOS AIRES,20',Container,Sent,40,,SVN,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,HAPAG LLOYD,,,,
359,Africa,Invoiced,CONFIRMED,20,0,Argentina,THESSALONIKI,20',Container,Sent,40,25.0,SVN,MAERSK,CMA CGM,JORF LASFAR,GAMMA,,1.0,,
360,Americas,Invoiced,CONFIRMED,22,44,Nigeria,LAT KRABANG,40' Dry,Container,Sent,0,60.0,IPSEN,CMA CGM,HAPAG LLOYD,TANGER,MAERSK,3.0,,,
361,Africa,Deal concluded,CONFIRMED,22,0,Greece,LAT KRABANG,40' Dry,Vessel,Sent,27,25.0,SVN,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,GAMMA,,,,
362,Americas,Finalized,CONFIRMED,20,20,Nigeria,BUENOS AIRES,20',Container,Sent,19,30.0,IPSEN,CMA CGM,MAERSK,CASABLANCA,GAMMA,,1.0,,
363,Asia,Deal concluded,CONFIRMED,20,44,Morocco,LAGOS,20',Container,Sent,40,25.0,IPSEN,SEALAND,MAERSK,,CMA CGM,,,,
364,Europe,Invoiced,CONFIRMED,25,44,Argentina,LAGOS,20',Container,Sent,27,25.0,SVN,MAERSK,HAPAG LLOYD,,CMA CGM,,,0.0,0.0
365,Africa,Invoiced,CONFIRMED,20,25,Morocco,LAGOS,20',Truck,Sent,33,60.0,SVN,SEALAND,CMA CGM,TANGER,CMA CGM,,1.0,,0.0
366,Africa,Delivery in progress,CONFIRMED,20,0,Thailand,BUENOS AIRES,40' Dry,Container,Sent,27,25.0,IPSEN,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,HAPAG LLOYD,,1.0,,
367,Africa,Invoiced,CONFIRMED,20,25,Nigeria,,20',Truck,Sent,40,15.0,IPSEN,CMA CGM,MAERSK,CASABLANCA,CMA CGM,,,,0.0
368,Africa,Finalized,CONFIRMED,22,20,Morocco,BUENOS AIRES,,Vessel,Sent,19,30.0,SVN,MAERSK,SEALAND,CASABLANCA,SEALAND,,1.0,0.0,
369,Local Market,Deal concluded,CONFIRMED,25,25,Morocco,THESSALONIKI,20',Vessel,Sent,0,60.0,SVN,HAPAG LLOYD,HAPAG LLOYD,TANGER,MAERSK,,1.0,0.0,
370,Local Market,Delivery in progress,CONFIRMED,22,0,Greece,LAGOS,20',Vessel,Sent,40,30.0,ONCF,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,HAPAG LLOYD,,1.0,,
371,Europe,Delivery in progress,CONFIRMED,22,25,Argentina,BUENOS AIRES,20',Container,Sent,27,30.0,SVN,MAERSK,CMA CGM,CASABLANCA,HAPAG LLOYD,,,,
372,Local Market,Deal concluded,CONFIRMED,20,0,Argentina,THESSALONIKI,40' Dry,Container,Sent,27,30.0,IPSEN,HAPAG LLOYD,BDP,TANGER,SEALAND,,,,
373,Asia,Deal concluded,CONFIRMED,20,25,Thailand,,20',Container,Sent,40,25.0,ONCF,CMA CGM,BDP,CASABLANCA,CMA CGM,,,0.0,
374,Americas,Finalized,CONFIRMED,22,20,Thailand,LAT KRABANG,20',Container,Sent,33,15.0,SVN,SEALAND,SEALAND,CASABLANCA,GAMMA,,,,
375,Europe,Deal concluded,CONFIRMED,20,0,Thailand,BUENOS AIRES,40' Dry,Container,Sent,40,15.0,SVN,SEALAND,CMA CGM,,CMA CGM,,,,
376,Europe,Deal concluded,CONFIRMED,22,0,Argentina,BUENOS AIRES,40' Dry,Container,Sent,33,25.0,SVN,MAERSK,BDP,CASABLANCA,CMA CGM,,,0.0,
377,Africa,Delivery in progress,CONFIRMED,20,20,Argentina,,,Container,Sent,40,60.0,IPSEN,MAERSK,CMA CGM,CASABLANCA,HAPAG LLOYD,,1.0,,
378,Europe,Invoiced,CONFIRMED,22,44,Morocco,LAT KRABANG,40' Dry,Container,Sent,33,60.0,IPSEN,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,CMA CGM,,,0.0,
379,Asia,Finalized,CONFIRMED,22,30,Thailand,LAGOS,20',Container,Sent,33,60.0,ONCF,MAERSK,CMA CGM,CASABLANCA,MAERSK,,,0.0,
380,Americas,Finalized,CONFIRMED,22,44,Thailand,BUENOS AIRES,20',Truck,Sent,0,25.0,SVN,SEALAND,MAERSK,,MAERSK,,,,0.0
381,Asia,Deal concluded,CONFIRMED,22,0,Morocco,THESSALONIKI,,Vessel,Sent,0,60.0,SVN,MAERSK,HAPAG LLOYD,TANGER,SEALAND,,,,
382,Asia,Invoiced,CONFIRMED,25,20,Greece,LAT KRABANG,20',Truck,Sent,19,60.0,SVN,HAPAG LLOYD,BDP,TANGER,SEALAND,,1.0,,0.0
383,Americas,Finalized,CONFIRMED,25,20,Greece,BUENOS AIRES,40' Dry,Vessel,Sent,19,30.0,SVN,MAERSK,CMA CGM,CASABLANCA,MAERSK,,,,
384,Americas,Deal concluded,CONFIRMED,20,44,Greece,BUENOS AIRES,20',Vessel,Sent,19,60.0,SVN,MAERSK,BDP,JORF LASFAR,CMA CGM,,,0.0,0.0
385,Americas,Deal concluded,CONFIRMED,22,30,Thailand,,20',Container,Sent,40,30.0,IPSEN,HAPAG LLOYD,MAERSK,CASABLANCA,CMA CGM,,1.0,,
386,Americas,Deal concluded,CONFIRMED,22,30,Nigeria,LAGOS,20',Container,Sent,19,,SVN,SEALAND,CMA CGM,TANGER,SEALAND,,,0.0,
387,Europe,Delivery in progress,CONFIRMED,20,44,Thailand,THESSALONIKI,20',Container,Sent,40,60.0,IPSEN,MAERSK,BDP,JORF LASFAR,CMA CGM,,,,
388,Americas,Finalized,CONFIRMED,22,0,Nigeria,THESSALONIKI,20',Vessel,Sent,33,25.0,SVN,SEALAND,HAPAG LLOYD,CASABLANCA,HAPAG LLOYD,,,,
389,Africa,Delivery in progress,CONFIRMED,20,30,Greece,LAT KRABANG,20',Truck,Sent,19,,ONCF,CMA CGM,MAERSK,JORF LASFAR,MAERSK,,,,
390,Europe,Deal concluded,CONFIRMED,20,0,Thailand,,,Container,Sent,33,30.0,IPSEN,MAERSK,SEALAND,CASABLANCA,MAERSK,,,0.0,
391,Local Market,Deal concluded,CONFIRMED,25,0,Greece,,40' Dry,Container,Sent,0,,IPSEN,HAPAG LLOYD,BDP,TANGER,MAERSK,,,,
392,Europe,Invoiced,CONFIRMED,22,30,Greece,THESSALONIKI,40' Dry,Container,Sent,33,25.0,ONCF,MAERSK,MAERSK,CASABLANCA,HAPAG LLOYD,,,,
393,Americas,Delivery in progress,CONFIRMED,22,0,Morocco,,20',Container,Sent,19,25.0,IPSEN,MAERSK,SEALAND,JORF LASFAR,CMA CGM,,,,
394,Local Market,Deal concluded,CONFIRMED,25,20,Nigeria,,20',Container,Sent,0,60.0,SVN,CMA CGM,HAPAG LLOYD,TANGER,MAERSK,3.0,,,
395,Asia,Deal concluded,CONFIRMED,20,20,Thailand,,20',Truck,Sent,40,60.0,ONCF,MAERSK,CMA CGM,TANGER,HAPAG LLOYD,,,0.0,
396,Europe,Invoiced,CONFIRMED,22,44,Greece,,,Container,Sent,19,,ONCF,SEALAND,HAPAG LLOYD,,HAPAG LLOYD,3.0,,,
397,Local Market,Deal concluded,CONFIRMED,20,25,Nigeria,THESSALONIKI,20',Container,Sent,40,25.0,SVN,MAERSK,MAERSK,JORF LASFAR,HAPAG LLOYD,,1.0,,0.0
398,Asia,Deal concluded,CONFIRMED,25,25,Morocco,,40' Dry,Container,Sent,19,30.0,SVN,MAERSK,BDP,,CMA CGM,,,,
399,Africa,Delivery in progress,CONFIRMED,25,25,Nigeria,LAGOS,,Container,Sent,40,60.0,SVN,HAPAG LLOYD,CMA CGM,CASABLANCA,SEALAND,3.0,,,
400,Africa,Invoiced,CONFIRMED,22,20,Nigeria,LAT KRABANG,,Truck,Sent,40,30.0,SVN,SEALAND,HAPAG LLOYD,CASABLANCA,HAPAG LLOYD,,,,
401,Asia,Finalized,CONFIRMED,20,0,Argentina,BUENOS AIRES,,Container,Sent,0,15.0,IPSEN,SEALAND,BDP,JORF LASFAR,GAMMA,,,,
402,Local Market,Delivery in progress,CONFIRMED,20,25,Morocco,THESSALONIKI,40' Dry,Container,Sent,0,15.0,ONCF,MAERSK,MAERSK,TANGER,HAPAG LLOYD,,,,
403,Asia,Finalized,CONFIRMED,20,44,Morocco,LAGOS,20',Container,Sent,33,60.0,IPSEN,SEALAND,HAPAG LLOYD,,SEALAND,,,,
404,Local Market,Deal concluded,CONFIRMED,20,30,Argentina,THESSALONIKI,40' Dry,Container,Sent,40,30.0,IPSEN,CMA CGM,CMA CGM,TANGER,HAPAG LLOYD,,,0.0,0.0
405,Americas,Invoiced,CONFIRMED,20,0,Thailand,LAGOS,20',Container,Sent,27,15.0,IPSEN,MAERSK,CMA CGM,TANGER,SEALAND,,1.0,,
406,Local Market,Finalized,CONFIRMED,22,25,Argentina,BUENOS AIRES,20',Truck,Sent,33,60.0,ONCF,HAPAG LLOYD,BDP,CASABLANCA,CMA CGM,,,,0.0
407,Americas,Invoiced,CONFIRMED,20,0,Argentina,,20',Truck,Sent,33,15.0,SVN,HAPAG LLOYD,CMA CGM,CASABLANCA,HAPAG LLOYD,,1.0,,
408,Local Market,Delivery in progress,CONFIRMED,20,30,Argentina,BUENOS AIRES,20',Container,Sent,27,25.0,IPSEN,SEALAND,BDP,,GAMMA,3.0,,,
409,Local Market,Invoiced,CONFIRMED,20,44,Greece,,,Container,Sent,27,30.0,IPSEN,SEALAND,MAERSK,CASABLANCA,GAMMA,,,0.0,0.0
410,Americas,Deal concluded,CONFIRMED,22,44,Morocco,,20',Container,Sent,33,30.0,SVN,CMA CGM,MAERSK,CASABLANCA,GAMMA,3.0,,,
411,Americas,Deal concluded,CONFIRMED,20,0,Greece,BUENOS AIRES,20',Truck,Sent,0,25.0,IPSEN,CMA CGM,SEALAND,TANGER,SEALAND,3.0,,,
412,Europe,Deal concluded,CONFIRMED,20,44,Greece,THESSALONIKI,20',Container,Sent,27,,IPSEN,HAPAG LLOYD,SEALAND,CASABLANCA,HAPAG LLOYD,,,,
413,Local Market,Finalized,CONFIRMED,25,0,Thailand,BUENOS AIRES,40' Dry,Truck,Sent,27,60.0,SVN,MAERSK,MAERSK,,CMA CGM,3.0,,0.0,
414,Local Market,Delivery in progress,CONFIRMED,20,20,Nigeria,BUENOS AIRES,,Container,Sent,40,30.0,ONCF,HAPAG LLOYD,HAPAG LLOYD,JORF LASFAR,HAPAG LLOYD,,,,0.0
415,Africa,Deal concluded,CONFIRMED,25,30,Nigeria,,40' Dry,Vessel,Sent,40,30.0,SVN,HAPAG LLOYD,HAPAG LLOYD,CASABLANCA,MAERSK,,,0.0,
416,Americas,Deal concluded,CONFIRMED,20,30,Argentina,,,Container,Sent,0,25.0,IPSEN,SEALAND,MAERSK,CASABLANCA,GAMMA,,,,
417,Local Market,Deal concluded,CONFIRMED,25,20,Argentina,,40' Dry,Container,Sent,27,,ONCF,MAERSK,HAPAG LLOYD,,CMA CGM,,,0.0,
418,Americas,Finalized,CONFIRMED,25,25,Argentina,THESSALONIKI,,Truck,Sent,27,,IPSEN,CMA CGM,HAPAG LLOYD,JORF LASFAR,MAERSK,,,,
419,Americas,Deal concluded,CONFIRMED,22,25,Greece,THESSALONIKI,20',Container,Sent,40,15.0,IPSEN,HAPAG LLOYD,HAPAG LLOYD,JORF LASFAR,MAERSK,3.0,1.0,,
420,Europe,Invoiced,CONFIRMED,25,44,Argentina,LAT KRABANG,,Container,Sent,19,15.0,IPSEN,MAERSK,SEALAND,,CMA CGM,3.0,1.0,,
421,Americas,Delivery in progress,CONFIRMED,20,20,Greece,LAGOS,20',Container,Sent,40,25.0,SVN,HAPAG LLOYD,MAERSK,TANGER,CMA CGM,3.0,,,
422,Asia,Finalized,CONFIRMED,20,20,Thailand,LAT KRABANG,20',Container,Sent,0,15.0,ONCF,MAERSK,SEALAND,TANGER,SEALAND,,,,
423,Americas,Finalized,CONFIRMED,22,44,Argentina,LAT KRABANG,20',Container,Sent,0,30.0,SVN,MAERSK,MAERSK,CASABLANCA,MAERSK,3.0,,,
424,Local Market,Delivery in progress,CONFIRMED,20,44,Greece,BUENOS AIRES,20',Container,Sent,0,15.0,ONCF,HAPAG LLOYD,BDP,JORF LASFAR,MAERSK,,,,
425,Asia,Deal concluded,CONFIRMED,20,20,Thailand,THESSALONIKI,40' Dry,Vessel,Sent,0,60.0,IPSEN,MAERSK,BDP,,CMA CGM,,,,
426,Local Market,Finalized,CONFIRMED,25,44,Nigeria,THESSALONIKI,20',Truck,Sent,27,,IPSEN,MAERSK,MAERSK,TANGER,SEALAND,3.0,,,
427,Asia,Deal concluded,CONFIRMED,20,30,Greece,LAGOS,20',Container,Sent,33,15.0,IPSEN,HAPAG LLOYD,SEALAND,TANGER,MAERSK,3.0,,,
428,Africa,Deal concluded,CONFIRMED,20,44,Morocco,BUENOS AIRES,40' Dry,Truck,Sent,0,25.0,SVN,SEALAND,MAERSK,,CMA CGM,,,,
429,Americas,Invoiced,CONFIRMED,22,0,Thailand,LAGOS,40' Dry,Truck,Sent,33,30.0,SVN,SEALAND,MAERSK,,HAPAG LLOYD,,,,
430,Europe,Delivery in progress,CONFIRMED,20,0,Morocco,BUENOS AIRES,40' Dry,Truck,Sent,27,30.0,SVN,SEALAND,CMA CGM,TANGER,HAPAG LLOYD,,1.0,,
431,Americas,Delivery in progress,CONFIRMED,22,30,Thailand,,40' Dry,Container,Sent,33,30.0,SVN,MAERSK,SEALAND,JORF LASFAR,MAERSK,3.0,,,0.0
432,Europe,Deal concluded,CONFIRMED,20,20,Thailand,,40' Dry,Truck,Sent,19,25.0,ONCF,SEALAND,CMA CGM,CASABLANCA,HAPAG LLOYD,3.0,,,
433,Local Market,Deal concluded,CONFIRMED,25,25,Argentina,THESSALONIKI,40' Dry,Truck,Sent,0,60.0,ONCF,MAERSK,SEALAND,CASABLANCA,SEALAND,,1.0,,
434,Europe,Deal concluded,CONFIRMED,20,30,Morocco,,40' Dry,Truck,Sent,27,60.0,IPSEN,SEALAND,SEALAND,TANGER,CMA CGM,,,0.0,
435,Americas,Finalized,CONFIRMED,22,25,Argentina,BUENOS AIRES,,Container,Sent,40,25.0,IPSEN,MAERSK,CMA CGM,,HAPAG LLOYD,,,,
436,Americas,Deal concluded,CONFIRMED,22,0,Argentina,BUENOS AIRES,20',Truck,Sent,27,30.0,SVN,MAERSK,BDP,TANGER,MAERSK,3.0,,,0.0
437,Local Market,Deal concluded,CONFIRMED,20,30,Thailand,BUENOS AIRES,20',Container,Sent,0,30.0,IPSEN,CMA CGM,MAERSK,TANGER,HAPAG LLOYD,,,0.0,
438,Europe,Delivery in progress,CONFIRMED,25,25,Argentina,LAT KRABANG,,Container,Sent,19,15.0,IPSEN,CMA CGM,BDP,CASABLANCA,GAMMA,,,,0.0
439,Americas,Deal concluded,CONFIRMED,20,44,Morocco,BUENOS AIRES,40' Dry,Container,Sent,40,60.0,IPSEN,HAPAG LLOYD,HAPAG LLOYD,TANGER,SEALAND,,,0.0,
440,Americas,Deal concluded,CONFIRMED,20,0,Argentina,BUENOS AIRES,40' Dry,Container,Sent,40,15.0,ONCF,HAPAG LLOYD,HAPAG LLOYD,JORF LASFAR,MAERSK,,1.0,0.0,
441,Europe,Invoiced,CONFIRMED,20,20,Argentina,LAGOS,40' Dry,Container,Sent,40,60.0,SVN,HAPAG LLOYD,SEALAND,JORF LASFAR,MAERSK,,,0.0,
442,Africa,Deal concluded,CONFIRMED,20,20,Nigeria,LAT KRABANG,,Container,Sent,27,60.0,SVN,HAPAG LLOYD,CMA CGM,CASABLANCA,SEALAND,3.0,,0.0,
443,Africa,Finalized,CONFIRMED,20,25,Thailand,LAGOS,40' Dry,Truck,Sent,27,15.0,IPSEN,MAERSK,CMA CGM,TANGER,HAPAG LLOYD,3.0,,,
444,Americas,Deal concluded,CONFIRMED,25,44,Nigeria,THESSALONIKI,20',Container,Sent,0,15.0,SVN,MAERSK,CMA CGM,TANGER,SEALAND,3.0,,,0.0
445,Asia,Deal concluded,CONFIRMED,22,30,Nigeria,,20',Vessel,Sent,0,15.0,IPSEN,HAPAG LLOYD,BDP,JORF LASFAR,GAMMA,,,,0.0
446,Local Market,Deal concluded,CONFIRMED,22,20,Greece,,20',Container,Sent,27,30.0,SVN,MAERSK,HAPAG LLOYD,,CMA CGM,3.0,1.0,,
447,Asia,Invoiced,CONFIRMED,20,44,Thailand,BUENOS AIRES,40' Dry,Container,Sent,19,15.0,ONCF,HAPAG LLOYD,CMA CGM,CASABLANCA,HAPAG LLOYD,,,,0.0
448,Europe,Finalized,CONFIRMED,25,20,Nigeria,BUENOS AIRES,20',Container,Sent,33,60.0,SVN,CMA CGM,SEALAND,TANGER,MAERSK,,,,
449,Asia,Delivery in progress,CONFIRMED,22,30,Thailand,LAGOS,20',Container,Sent,27,25.0,SVN,SEALAND,CMA CGM,,GAMMA,,1.0,0.0,
450,Europe,Deal concluded,CONFIRMED,22,30,Thailand,,,Truck,Sent,33,60.0,SVN,MAERSK,CMA CGM,JORF LASFAR,GAMMA,,,0.0,
451,Local Market,Deal concluded,CONFIRMED,20,0,Argentina,BUENOS AIRES,20',Container,Sent,33,25.0,SVN,MAERSK,SEALAND,TANGER,GAMMA,,,,
